iter	Passed	Remaining
0	57	57039
1	57	28647
2	57	19203
3	58	14483
4	58	11629
5	58	9742
6	59	8381
7	59	7358
8	59	6564
9	59	5930
10	60	5420
11	60	4992
12	60	4628
13	61	4317
14	61	4047
15	61	3809
16	62	3595
17	62	3408
18	62	3239
19	63	3087
20	63	2949
21	63	2826
22	63	2717
23	64	2611
24	64	2514
25	64	2428
26	65	2347
27	65	2273
28	65	2201
29	66	2137
30	66	2078
31	67	2026
32	67	1974
33	67	1924
34	68	1877
35	68	1833
36	68	1793
37	69	1754
38	69	1716
39	70	1681
40	70	1644
41	70	1609
42	70	1577
43	71	1545
44	71	1515
45	71	1488
46	72	1462
47	72	1435
48	72	1410
49	72	1386
50	73	1362
51	73	1340
52	73	1319
53	74	1300
54	74	1280
55	74	1261
56	75	1242
57	75	1224
58	75	1206
59	75	1189
60	76	1173
61	76	1158
62	76	1143
63	77	1128
64	77	1113
65	77	1098
66	77	1085
67	78	1072
68	78	1058
69	78	1046
70	79	1033
71	79	1021
72	79	1010
73	79	999
74	80	987
75	80	976
76	80	966
77	80	956
78	81	946
79	81	937
80	81	929
81	82	921
82	82	911
83	82	903
84	83	895
85	83	887
86	83	878
87	83	870
88	84	863
89	84	859
90	85	853
91	85	846
92	86	839
93	86	832
94	86	825
95	86	819
96	87	812
97	87	805
98	87	799
99	88	793
100	88	787
101	88	781
102	89	775
103	89	769
104	89	763
105	89	757
106	90	752
107	90	746
108	90	741
109	90	735
110	91	730
111	91	724
112	91	719
113	91	714
114	92	709
115	92	704
116	92	700
117	93	695
118	93	691
119	93	687
120	93	682
121	94	678
122	94	674
123	94	669
124	95	666
125	95	663
126	95	658
127	96	654
128	96	651
129	96	648
130	97	645
131	97	641
132	97	638
133	98	634
134	98	631
135	98	627
136	99	624
137	99	621
138	99	619
139	100	615
140	100	612
141	100	608
142	101	605
143	101	603
144	101	600
145	102	597
146	102	595
147	103	593
148	103	590
149	103	587
150	103	584
151	104	581
152	104	578
153	104	575
154	105	572
155	105	569
156	105	566
157	105	564
158	106	561
159	106	558
160	106	555
161	106	552
162	107	550
163	107	547
164	107	545
165	108	542
166	108	540
167	108	538
168	108	535
169	109	533
170	109	531
171	109	529
172	110	527
173	110	524
174	110	522
175	111	519
176	111	517
177	111	515
178	111	513
179	112	511
180	112	508
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	497
187	114	495
188	115	494
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	482
196	118	481
197	118	480
198	118	478
199	119	476
200	119	474
201	119	473
202	120	471
203	120	470
204	120	468
205	121	467
206	121	465
207	121	463
208	122	462
209	122	460
210	122	458
211	122	457
212	123	455
213	123	453
214	123	452
215	124	450
216	124	449
217	124	447
218	125	446
219	125	444
220	125	442
221	125	441
222	126	439
223	126	438
224	126	436
225	127	435
226	127	433
227	127	432
228	127	430
229	128	429
230	128	428
231	129	427
232	129	425
233	129	424
234	129	423
235	130	421
236	130	419
237	130	418
238	131	418
239	131	417
240	132	415
241	132	414
242	132	413
243	132	411
244	133	410
245	133	409
246	133	407
247	134	406
248	134	405
249	134	403
250	134	402
251	135	401
252	135	399
253	135	398
254	135	397
255	136	395
256	136	394
257	136	393
258	137	392
259	137	390
260	137	389
261	137	388
262	138	387
263	138	386
264	138	384
265	139	383
266	139	382
267	139	381
268	139	380
269	140	379
270	140	378
271	140	377
272	141	376
273	141	374
274	141	373
275	142	372
276	142	371
277	142	370
278	142	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	145	363
285	145	363
286	145	362
287	146	361
288	146	360
289	147	360
290	147	359
291	147	358
292	148	357
293	148	356
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	151	351
301	151	350
302	151	349
303	152	348
